item_id,model,strategy,duration_ms,tp,fp,fn,precision,recall,f1_score,ground_truth,predictions,raw_output,error,schema_valid,parse_failed,empty_response,prediction_source,mapped_rule_ids
6018,llama-4-scout-17b-16e-instruct,zero-shot,488421,0,1,1,0.0,0.0,0.0,4.1.2,1.3.1,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input type='text' />"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}",,True,False,False,json,
6021,llama-4-scout-17b-16e-instruct,zero-shot,5571,0,0,2,0.0,0.0,0.0,1.3.1|2.4.6,,"{""violations"": []}",no_wcag_codes_extracted,True,False,False,json_no_codes,
6016,llama-4-scout-17b-16e-instruct,zero-shot,7559,0,1,1,0.0,0.0,0.0,3.3.2,1.3.1,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Multiple Labels"", ""category"": ""semantic"",
   ""html"": ""<input type='checkbox' id='fail2'/> <label for='fail2'>label one</label> <label for='fail2'>label two</label>"", 
   ""target"": ""input"", ""description"": ""Form field has multiple labels."", ""impact"": ""moderate"", ""confidence"": 0.9}
]}",,True,False,False,json,
6008,llama-4-scout-17b-16e-instruct,zero-shot,6280,0,0,2,0.0,0.0,0.0,2.4.4|4.1.2,,"{""violations"": []}",no_wcag_codes_extracted,True,False,False,json_no_codes,
6019,llama-4-scout-17b-16e-instruct,zero-shot,6384,0,0,1,0.0,0.0,0.0,4.1.2,,"{""violations"": []}",no_wcag_codes_extracted,True,False,False,json_no_codes,
6020,llama-4-scout-17b-16e-instruct,zero-shot,13195,0,2,1,0.0,0.0,0.0,2.5.5,1.3.1|4.1.2,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Semantic Navigation Landmark Missing"", ""category"": ""semantic"",
   ""html"": ""<nav aria-label='Main Menu' class='main-navigation'>"", ""target"": ""nav"",
   ""description"": ""Navigation landmark is present but lacks a programmatically determinable name."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Banner Landmark Missing"", ""category"": ""semantic"",
   ""html"": ""<header class='site-header' id='masthead'>"", ""target"": ""header"",
   ""description"": ""Header landmark is present but lacks a programmatically determinable name."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Main Content Landmark Missing"", ""category"": ""semantic"",
   ""html"": ""<main id='content' tabindex='-1'>"", ""target"": ""main"",
   ""description"": ""Main landmark is present but lacks a programmatically determinable name."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""4.1.2"", ""violationName"": ""Duplicate ID"", ""category"": ""semantic"",
   ""html"": ""<input type='hidden' id='hs-cta-wrapper-343ea302-b25f-4161-bbd2-beb2b4244a1b'> <span class='hs-cta-wrapper' id='hs-cta-wrapper-343ea302-b25f-4161-bbd2-beb2b4244a1b'>"", ""target"": ""#hs-cta-wrapper-343ea302-b25f-4161-bbd2-beb2b4244a1b"",
   ""description"": ""The id 'hs-cta-wrapper-343ea302-b25f-4161-bbd2-beb2b4244a1b' is duplicated."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}",,True,False,False,json,
6017,llama-4-scout-17b-16e-instruct,zero-shot,7318,0,1,1,0.0,0.0,0.0,4.1.2,1.3.1,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input type='text' />"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}",,True,False,False,json,
6022,llama-4-scout-17b-16e-instruct,zero-shot,7297,0,1,1,0.0,0.0,0.0,1.1.1,1.3.1,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input type='text' />"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}",,True,False,False,json,
706_0,llama-4-scout-17b-16e-instruct,zero-shot,29447,1,0,9,1.0,0.1,0.1818,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,1.3.1,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Targeting Cookies\"" class=\""fides-toggle-input\"" name=\""pri_4de8eec0-ef79-417a-be42-22520111d7c8\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Social Media Cookies\"" class=\""fides-toggle-input\"" name=\""pri_2936cc91-a0d0-4927-8394-3e3724bdb36a\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Performance Cookies\"" class=\""fides-toggle-input\"" name=\""pri_c293c532-40d4-4012-9ec8-64c0d2e80e49\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Audience Measurement\"" class=\""fides-toggle-input\"" name=\""pri_5ce0b1a5-80c5-40d1-b8ad-751c667393e2\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Functional Cookies\"" class=\""fides-toggle-input\"" name=\""pri_29ebd463-72cc-403a-99bd-93ca1c4ea83a\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Essential\"" class=\""fides-toggle-input\"" disabled=\""\"" name=\""pri_c02deb9a-6197-4915-b376-bad31a62cdca\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Store and/or access information on a device\"" class=\""fides-toggle-input\"" name=\""1\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Use limited data to select advertising\"" class=\""fides-toggle-input\"" name=\""2\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Create profiles for personalised advertising\"" class=\""fides-toggle-input\"" name=\""3\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Use profiles to select personalised advertising\"" class=\""fides-toggle-input\"" name=\""4\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Create profiles to personalise content\"" class=\""fides-toggle-input\"" name=\""5\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Use profiles to select personalised content\"" class=\""fides-toggle-input\"" name=\""6\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Measure advertising performance\"" class=\""fides-toggle-input\"" name=\""7\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Measure content performance\"" class=\""fides-toggle-input\"" name=\""8\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}",,True,False,False,json,
708_0,llama-4-scout-17b-16e-instruct,zero-shot,29465,1,0,9,1.0,0.1,0.1818,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,1.3.1,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Targeting Cookies\"" class=\""fides-toggle-input\"" name=\""pri_4de8eec0-ef79-417a-be42-22520111d7c8\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Social Media Cookies\"" class=\""fides-toggle-input\"" name=\""pri_2936cc91-a0d0-4927-8394-3e3724bdb36a\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Performance Cookies\"" class=\""fides-toggle-input\"" name=\""pri_c293c532-40d4-4012-9ec8-64c0d2e80e49\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Audience Measurement\"" class=\""fides-toggle-input\"" name=\""pri_5ce0b1a5-80c5-40d1-b8ad-751c667393e2\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Functional Cookies\"" class=\""fides-toggle-input\"" name=\""pri_29ebd463-72cc-403a-99bd-93ca1c4ea83a\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Essential\"" class=\""fides-toggle-input\"" disabled=\""\"" name=\""pri_c02deb9a-6197-4915-b376-bad31a62cdca\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Store and/or access information on a device\"" class=\""fides-toggle-input\"" name=\""1\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Use limited data to select advertising\"" class=\""fides-toggle-input\"" name=\""2\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Create profiles for personalised advertising\"" class=\""fides-toggle-input\"" name=\""3\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Use profiles to select personalised advertising\"" class=\""fides-toggle-input\"" name=\""4\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Create profiles to personalise content\"" class=\""fides-toggle-input\"" name=\""5\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Use profiles to select personalised content\"" class=\""fides-toggle-input\"" name=\""6\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Measure advertising performance\"" class=\""fides-toggle-input\"" name=\""7\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Measure content performance\"" class=\""fides-toggle-input\"" name=\""8\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}",,True,False,False,json,
