item_id,model,strategy,duration_ms,tp,fp,fn,precision,recall,f1_score,ground_truth,predictions,raw_output,error,schema_valid,parse_failed,empty_response,prediction_source,mapped_rule_ids
6018,qwen3:4b,zero-shot,50645,0,0,1,0.0,0.0,0.0,4.1.2,,"{
  ""title"": ""aria-treeitem-name rule explanation"",
  ""explanation"": ""The `aria-treeitem-name` rule ensures elements with `role=\""treeitem\""` have a discernible accessible name for screen reader users. Without this, users cannot understand the purpose, function, or destination of tree items in hierarchical lists."",
  ""why_it_matters"": ""Screen reader users cannot identify tree items without an accessible name, leading to navigation confusion and accessibility barriers in tree-structured content."",
  ""correct_examples"": [
    ""Element with inner text: `<div role=\""treeitem\"">Name</div>`"",
    ""Non-empty `aria-label`: `<div role=\""treeitem\"" aria-label=\""Name\""></div>`"",
    ""`aria-labelledby` to existing element: `<div role=\""treeitem\"" aria-labelledby=\""labeldiv\""></div>`"",
    ""`title` attribute: `<div role=\""treeitem\"" title=\""Title\""></div>`""
  ],
  ""incorrect_examples"": [
    ""Empty tree item: `<div role=\""treeitem\""></div>`"",
    ""Empty `aria-label`: `<div role=\""treeitem\"" aria-label=\""\""></div>`"",
    ""Invalid `aria-labelledby`: `<div role=\""treeitem\"" aria-labelledby=\""nonexistent\""></div>`"",
    ""Invalid `aria-labelledby` to empty element: `<div role=\""treeitem\"" aria-labelledby=\""emptydiv\""></div>`""
  ],
  ""how_to_fix"": ""Ensure every `role=\""treeitem\""` element has one of: 1) inner text, 2) non-empty `aria-label`, 3) `aria-labelledby` pointing to a valid element with discernible text, or 4) `title` attribute.""
}",no_wcag_codes_extracted,False,False,False,json_no_codes,
6021,qwen3:4b,zero-shot,158940,0,0,2,0.0,0.0,0.0,1.3.1|2.4.6,,"{
  ""rule_description"": ""Table header elements should have visible text. Ensure that the table header can be used by screen reader users. If the element is not a header, marking it up with a `td` is more appropriate."",
  ""how_to_fix_problem"": ""How to Fix the Problem\n\nCorrect markup solutions\nTable header elements (those marked with <code>&lt;th&gt;</code> or\n<code>role=\""rowheader\""</code> or\n<code>role=\""columnheader\""</code>) should\nhave visible text that describes its purpose.\n\n<pre><code class=\""hljs xml\"">&lt;table&gt;&lt;tr&gt;&lt;th&gt;Student Name&lt;/th&gt;&lt;/tr&gt;&lt;/table&gt;</code></pre>\n\nIncorrect markup solutions\n\n<pre><code class=\""hljs xml\"">&lt;table&gt;&lt;tr&gt;&lt;th&gt;&lt;/th&gt;&lt;/tr&gt;&lt;/table&gt;\n\n&lt;table&gt;&lt;tr&gt;&lt;th &gt;aria-label=\""Student Name\""&gt;&lt;/th&gt;&lt;/tr&gt;&lt;/table&gt;</code></pre>""
}",no_wcag_codes_extracted,False,False,False,json_no_codes,
6016,qwen3:4b,zero-shot,252599,0,1,1,0.0,0.0,0.0,3.3.2,3.4.0,"{
  ""html"": ""<div class=\""col-md-8 content\"">\n  <section class=\""howToFix\"">\n    <h2>How to Fix the Problem</h2>\n    <div class=\""howToFixData\"">\n      <p>Ensure that only one label is assigned to a form field.</p>\n      <div class=\""example\"">\n        <h3 class=\""good\"">Correct markup solutions</h3>\n        <p>\n          The <code>form-field-multiple-labels</code> rule contains five markup\n          patterns that pass analysis:\n        </p>\n        <pre><code class=\""hljs xml\"">\n          &lt;label for=\""pass1\""&gt;Label&lt;/label&gt;\n          &lt;input type=\""text\"" id=\""pass1\"" &gt;\n\n          &lt;textarea id=\""pass2\"" title=\""Label\""&gt;&lt;/textarea&gt;\n\n          &lt;label&gt;First Name:&lt;/label&gt;\n          &lt;input type=\""text\"" id=\""pass3\"" &gt;\n\n          &lt;label&gt;\n            Choose an option:\n            &lt;select id=\""pass4\""&gt;\n              &lt;option selected&gt;Chosen&lt;/option&gt;\n              &lt;option&gt;Not Selected&lt;/option&gt;\n            &lt;/select&gt;\n          &lt;/label&gt;\n\n          &lt;label&gt;Enter your comments:&lt;/label&gt;\n          &lt;textarea id=\""pass5\""&gt;&lt;/textarea&gt;\n        </code></pre>\n      </div>\n      <div class=\""note\"">\n        <h3>\n          Caution: Screen Reader and Browser Combinations Inconsistently Support\n          Multiple <code>form</code> Element Labels\n        </h3>\n        <p>\n          The following markup examples work across the following screen reader and\n          browser combinations documented here as of the axe-core 3.4.0 release. See\n          <a href=\""https://codepen.io/straker/pen/PvqONy\"">Multiple Labels on a Single Input</a>\n          for further information on screen reader and browser testing combinations.\n        </p>\n        <pre><code class=\""hljs xml\"">\n          &lt;label for=\""pass1\""&gt;Label&lt;/label&gt;\n          &lt;input type=\""text\"" id=\""pass1\"" &gt;\n\n          &lt;textarea id=\""pass2\"" title=\""Label\""&gt;&lt;/textarea&gt;\n\n          &lt;label&gt;First Name:&lt;/label&gt;\n          &lt;input type=\""text\"" id=\""pass3\"" &gt;\n\n          &lt;label&gt;\n            Choose an option:\n            &lt;select id=\""pass4\""&gt;\n              &lt;option selected&gt;Chosen&lt;/option&gt;\n              &lt;option&gt;Not Selected&lt;/option&gt;\n            &lt;/select&gt;\n          &lt;/label&gt;\n\n          &lt;label&gt;Enter your comments:&lt;/label&gt;\n          &lt;textarea id=\""pass5\""&gt;&lt;/textarea&gt;\n        </code></pre>\n        <p>\n          Confirm the existence of one visible label per form element. to achieve\n          correct functionality across most screen reader and browser combinations.\n          Using the <code>aria-hidden</code> attribute alone is not sufficient and you\n          need to hide additional labels using CSS.\n        </p>\n      </div>\n      <div class=\""example\"">\n        <h3 class=\""bad\"">Incorrect markup examples</h3>\n        <p>\n          The <code>form-field-multiple-labels</code> rule contains nine markup\n          patterns that fail analysis:\n        </p>\n        <pre class=\""html\""><code class=\""hljs xml\"">\n          &lt;label for=\""fail1\""&gt;Hi&lt;/label&gt;\n          &lt;label for=\""fail1\""&gt;Foo&lt;/label&gt;\n          &lt;input type=\""text\"" id=\""fail1\"" &gt;\n\n          &lt;label for=\""fail2\""&gt;label one&lt;/label&gt;\n          &lt;label for=\""fail2\""&gt;label two&lt;/label&gt;\n          &lt;input type=\""checkbox\"" id=\""fail2\"" &gt;\n\n          &lt;label for=\""fail3\"" id=\""l1\""&gt;label one&lt;/label&gt;\n          &lt;label for=\""fail3\""&gt;label two&lt;/label&gt;\n          &lt;input type=\""checkbox\"" id=\""fail3\"" aria-labelledby=\""l1\"" &gt;\n\n          &lt;label for=\""fail4\""&gt;First Name:&lt;/label&gt;\n          &lt;label&gt;First Name:\n            &lt;input type=\""text\"" id=\""fail4\"" &gt;\n          &lt;/label&gt;\n\n          &lt;label for=\""fail5\""&gt;Choose an option:&lt;/label&gt;\n          &lt;label&gt;Choose an option:\n            &lt;select id=\""fail5\""&gt;\n              &lt;option selected&gt;Chosen&lt;/option&gt;\n              &lt;option&gt;Not Selected&lt;/option&gt;\n            &lt;/select&gt;\n          &lt;/label&gt;\n\n          [TRUNCATED]\n        </code></pre>\n      </div>\n    </div>\n  </section>\n</div>""
}",,False,False,False,json,
6008,qwen3:4b,zero-shot,26818,0,0,2,0.0,0.0,0.0,4.1.2|2.4.4,,"{
  ""violations"": [
    {
      ""rule_id"": ""4.10"",
      ""description"": ""Each clickable <area> within an image map must have an alt, aria-label, or aria-labelledby attribute that describes the purpose of the link"",
      ""evidence"": [
        ""The page describes that image maps require proper accessibility text for each clickable area"",
        ""The page states that server-side image maps (using ismap attribute) are not keyboard accessible and should be avoided"",
        ""The page provides examples of both correct and incorrect implementations""
      ],
      ""impact"": ""Screen readers require text alternatives to understand the purpose of clickable areas in image maps""
    }
  ]
}",no_wcag_codes_extracted,True,False,False,json_no_codes,
6019,qwen3:4b,zero-shot,65962,0,0,1,0.0,0.0,0.0,4.1.2,,"{
  ""rule_description"": ""The `aria-braillelabel` attribute must only be used on elements with a non-empty accessible name (e.g., via `aria-label` or `aria-labelledby`). Similarly, the `aria-brailleroledescription` attribute must only be used on elements with a non-empty `aria-roledescription` attribute."",
  ""algorithm"": ""For every element with `aria-braillelabel`, verify it has a non-empty accessible name. For every element with `aria-brailleroledescription`, verify it has a non-empty `aria-roledescription` attribute.""
}",no_wcag_codes_extracted,False,False,False,json_no_codes,
6020,qwen3:4b,zero-shot,33106,0,1,1,0.0,0.0,0.0,2.5.5,2.5.8,"{
  ""rule"": ""2.5.8 Target Size (WCAG 2.2 AA)"",
  ""description"": ""Touch targets must be at least 24px by 24px in size to ensure usability for users with motor impairments, large fingers, or one-handed operation."",
  ""why_it_matters"": [
    ""Users with motor impairments (e.g., tremors) require larger targets to avoid accidental taps"",
    ""Users with large fingers need sufficient space to avoid mistaps"",
    ""One-handed users require targets that don't interfere with other interactions"",
    ""Users in environments with physical shaking (e.g., public transport) benefit from larger targets""
  ],
  ""how_to_fix"": [
    ""Ensure interactive elements (buttons, links) have minimum 24px by 24px dimensions"",
    ""Add sufficient spacing between interactive elements (minimum 48px between targets)"",
    ""Use CSS `min-width` and `min-height` properties for interactive elements"",
    ""For touch targets, ensure the visual size (including borders and padding) meets 24px minimum""
  ],
  ""examples"": [
    ""Correct: `<button style=\""min-width: 24px; min-height: 24px;\"">Submit</button>`"",
    ""Incorrect: `<button style=\""width: 16px; height: 16px;\"">Submit</button>`""
  ],
  ""algorithm"": ""For each interactive element, measure the bounding box (including borders and padding). If the smallest dimension (width or height) is less than 24px, the target is too small.""
}",,False,False,False,json,
6017,qwen3:4b,zero-shot,82450,0,0,1,0.0,0.0,0.0,4.1.2,,"{
  ""title"": ""Fixing the 'aria-tooltip-name' Rule in axe"",
  ""problem"": ""Elements with role=\""tooltip\"" must have an accessible name for screen reader users to understand their purpose"",
  ""why_it_matters"": ""Screen reader users cannot discern the purpose of tooltips without an accessible name"",
  ""how_to_fix"": [
    ""Provide non-empty aria-label attribute"",
    ""Use aria-labelledby pointing to discernible text"",
    ""Include readable inner text"",
    ""Use title attribute (less accessible, not recommended)""
  ],
  ""correct_examples"": [
    ""<div role=\""tooltip\"" aria-label=\""Name\""></div>"",
    ""<div role=\""tooltip\"" aria-labelledby=\""labeldiv\""></div>"",
    ""<div role=\""tooltip\"">Name</div>"",
    ""<div role=\""tooltip\"" title=\""Title\""></div>""
  ],
  ""incorrect_examples"": [
    ""<div role=\""tooltip\""></div>"",
    ""<div role=\""tooltip\"" aria-label=\""\""></div>"",
    ""<div role=\""tooltip\"" aria-labelledby=\""nonexistent\""></div>"",
    ""<div role=\""tooltip\"" aria-labelledby=\""emptydiv\""></div>""
  ],
  ""note"": ""The title attribute is a legacy solution that may not be read by all screen readers. Prefer aria-label or aria-labelledby for modern accessibility.""
}",no_wcag_codes_extracted,False,False,False,json_no_codes,
6022,qwen3:4b,zero-shot,128796,0,1,1,0.0,0.0,0.0,1.1.1,4.1.2,"{
  ""violations"": [
    {
      ""rule"": ""aria-meter-name"",
      ""description"": ""Elements with role=\""meter\"" must have a discernible name"",
      ""evidence"": [
        {
          ""element"": ""div"",
          ""id"": ""meter-example"",
          ""attributes"": {
            ""role"": ""meter"",
            ""aria-label"": ""Progress: 50%""
          }
        },
        {
          ""element"": ""div"",
          ""id"": ""meter-example-2"",
          ""attributes"": {
            ""role"": ""meter"",
            ""aria-valuenow"": ""50""
          }
        }
      ],
      ""impact"": ""high"",
      ""category"": ""aria""
    }
  ]
}",,True,False,False,json,aria-meter-name
706_0,qwen3:4b,zero-shot,27175,0,0,10,0.0,0.0,0.0,2.4.3|1.3.1|4.1.1|2.4.6|2.4.4|2.4.9|2.1.1|4.1.2|1.4.3|1.4.6,,"{
  ""violations"": []
}",no_wcag_codes_extracted,True,False,False,json_no_codes,
708_0,qwen3:4b,zero-shot,32901,0,0,10,0.0,0.0,0.0,2.4.3|1.3.1|4.1.1|2.4.6|2.4.4|2.4.9|2.1.1|4.1.2|1.4.3|1.4.6,,"{
  ""violations"": [
    {
      ""type"": ""missing_alt_text"",
      ""element"": ""img"",
      ""description"": ""Image element with no alt text provided for accessibility"",
      ""evidence"": ""The HTML contains an image element with src=\""https://example.com/icons/consent.png\"" but no alt attribute defined""
    },
    {
      ""type"": ""missing_label"",
      ""element"": ""input"",
      ""description"": ""Input element lacks a label for accessibility"",
      ""evidence"": ""The input element with id=\""consent-1\"" has no associated label element in the HTML structure""
    },
    {
      ""type"": ""missing_label"",
      ""element"": ""input"",
      ""description"": ""Input element lacks a label for accessibility"",
      ""evidence"": ""The input element with id=\""consent-2\"" has no associated label element in the HTML structure""
    },
    {
      ""type"": ""missing_label"",
      ""element"": ""input"",
      ""description"": ""Input element lacks a label for accessibility"",
      ""evidence"": ""The input element with id=\""consent-3\"" has no associated label element in the HTML structure""
    },
    {
      ""type"": ""missing_label"",
      ""element"": ""input"",
      ""description"": ""Input element lacks a label for accessibility"",
      ""evidence"": ""The input element with id=\""consent-4\"" has no associated label element in the HTML structure""
    }
  ]
}",no_wcag_codes_extracted,True,False,False,json_no_codes,
