item_id,model,strategy,duration_ms,tp,fp,fn,precision,recall,f1_score,ground_truth,predictions,raw_output,error,schema_valid,parse_failed,empty_response,prediction_source,mapped_rule_ids
6018,deepseek-r1-distill-llama-70b,zero-shot,243104,0,0,0,0.0,0.0,0.0,4.1.2,,,"Error code: 400 - {'error': {'message': 'The provided messages contain images, but deepseek-r1-distill-llama-70b does not support image inputs.', 'type': 'invalid_request_error', 'param': 'messages', 'code': 'invalid_value'}}",False,False,False,none,
6021,deepseek-r1-distill-llama-70b,zero-shot,31,0,0,0,0.0,0.0,0.0,2.4.6|1.3.1,,,"Error code: 400 - {'error': {'message': 'The provided messages contain images, but deepseek-r1-distill-llama-70b does not support image inputs.', 'type': 'invalid_request_error', 'param': 'messages', 'code': 'invalid_value'}}",False,False,False,none,
6016,deepseek-r1-distill-llama-70b,zero-shot,51,0,0,0,0.0,0.0,0.0,3.3.2,,,"Error code: 400 - {'error': {'message': 'The provided messages contain images, but deepseek-r1-distill-llama-70b does not support image inputs.', 'type': 'invalid_request_error', 'param': 'messages', 'code': 'invalid_value'}}",False,False,False,none,
6008,deepseek-r1-distill-llama-70b,zero-shot,42,0,0,0,0.0,0.0,0.0,2.4.4|4.1.2,,,"Error code: 400 - {'error': {'message': 'The provided messages contain images, but deepseek-r1-distill-llama-70b does not support image inputs.', 'type': 'invalid_request_error', 'param': 'messages', 'code': 'invalid_value'}}",False,False,False,none,
6019,deepseek-r1-distill-llama-70b,zero-shot,37,0,0,0,0.0,0.0,0.0,4.1.2,,,"Error code: 400 - {'error': {'message': 'The provided messages contain images, but deepseek-r1-distill-llama-70b does not support image inputs.', 'type': 'invalid_request_error', 'param': 'messages', 'code': 'invalid_value'}}",False,False,False,none,
6020,deepseek-r1-distill-llama-70b,zero-shot,38,0,0,0,0.0,0.0,0.0,2.5.5,,,"Error code: 400 - {'error': {'message': 'The provided messages contain images, but deepseek-r1-distill-llama-70b does not support image inputs.', 'type': 'invalid_request_error', 'param': 'messages', 'code': 'invalid_value'}}",False,False,False,none,
6017,deepseek-r1-distill-llama-70b,zero-shot,46,0,0,0,0.0,0.0,0.0,4.1.2,,,"Error code: 400 - {'error': {'message': 'The provided messages contain images, but deepseek-r1-distill-llama-70b does not support image inputs.', 'type': 'invalid_request_error', 'param': 'messages', 'code': 'invalid_value'}}",False,False,False,none,
6022,deepseek-r1-distill-llama-70b,zero-shot,39,0,0,0,0.0,0.0,0.0,1.1.1,,,"Error code: 400 - {'error': {'message': 'The provided messages contain images, but deepseek-r1-distill-llama-70b does not support image inputs.', 'type': 'invalid_request_error', 'param': 'messages', 'code': 'invalid_value'}}",False,False,False,none,
706_0,deepseek-r1-distill-llama-70b,zero-shot,39,0,0,0,0.0,0.0,0.0,1.4.6|2.1.1|2.4.9|2.4.4|4.1.1|4.1.2|2.4.3|2.4.6|1.3.1|1.4.3,,,"Error code: 400 - {'error': {'message': 'The provided messages contain images, but deepseek-r1-distill-llama-70b does not support image inputs.', 'type': 'invalid_request_error', 'param': 'messages', 'code': 'invalid_value'}}",False,False,False,none,
708_0,deepseek-r1-distill-llama-70b,zero-shot,37,0,0,0,0.0,0.0,0.0,1.4.6|2.1.1|2.4.9|2.4.4|4.1.1|4.1.2|2.4.3|2.4.6|1.3.1|1.4.3,,,"Error code: 400 - {'error': {'message': 'The provided messages contain images, but deepseek-r1-distill-llama-70b does not support image inputs.', 'type': 'invalid_request_error', 'param': 'messages', 'code': 'invalid_value'}}",False,False,False,none,
709_0,deepseek-r1-distill-llama-70b,zero-shot,34,0,0,0,0.0,0.0,0.0,1.4.6|2.1.1|2.4.9|2.4.4|4.1.1|4.1.2|2.4.3|2.4.6|1.3.1|1.4.3,,,"Error code: 400 - {'error': {'message': 'The provided messages contain images, but deepseek-r1-distill-llama-70b does not support image inputs.', 'type': 'invalid_request_error', 'param': 'messages', 'code': 'invalid_value'}}",False,False,False,none,
