item_id,model,strategy,duration_ms,tp,fp,fn,ground_truth,predictions,prediction_source,mapped_rule_ids,schema_valid,parse_failed,empty_response,error,error_class,has_prediction,raw_output_excerpt
6018,gemma-3-27b-it,zero-shot,71451,0,1,1,4.1.2,1.3.1,json,,True,False,False,,ok,True,"```json
{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<div role=\""treeitem\"" id=\""empty\""></div>"", ""target"": ""div"", ""description"": ""Tree item lacks an accessible name."", ""impact"": ""serious"", ""confidence"": 0.95},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<div role=\""treeitem\"" id=\""alempty\"" aria-label=\""\""></div>"", ""target"": ""div"", ""description"": ""Tree item has an empty aria-label attribute, providing no accessible name."", ""impact"": ""serious"", ""confidence"": 0.95},
  {""wcagCode"": ""1.3."
6021,gemma-3-27b-it,zero-shot,6300,1,0,1,1.3.1|2.4.6,1.3.1,json,,True,False,False,,ok,True,"```json
{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<th aria-label=\""Student Name\""></th>"", ""target"": ""th"", ""description"": ""Table header element lacks visible text content."", ""impact"": ""minor"", ""confidence"": 0.9}
]}
```"
6016,gemma-3-27b-it,zero-shot,6369,1,0,0,3.3.2,3.3.2,json,,True,False,False,,ok,True,"```json
{""violations"": [
  {""wcagCode"": ""3.3.2"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input type='text' />"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}
```"
6008,gemma-3-27b-it,zero-shot,7321,0,1,2,2.4.4|4.1.2,1.1.1,json,,True,False,False,,ok,True,"```json
{""violations"": [
  {""wcagCode"": ""1.1.1"", ""violationName"": ""Non-text Content"", ""category"": ""semantic"", ""html"": ""<img alt=\""Deque University logo\"" src=\""assets/images/logos/Deque_DequeU_Logo_White.png\"" style=\""height: 50px; margin-top: -5px;\""/>"", ""target"": ""img"", ""description"": ""Image lacks alternative text."", ""impact"": ""serious"", ""confidence"": 0.9}
]}
```"
6019,gemma-3-27b-it,zero-shot,7004,1,0,0,4.1.2,4.1.2,json,,True,False,False,,ok,True,"```json
{""violations"": [
  {""wcagCode"": ""4.1.2"", ""violationName"": ""Missing Label or Role Value"", ""category"": ""semantic"", ""html"": ""<img alt=\""\"" src=\""images/stars.jpg\"">"", ""target"": ""img"", ""description"": ""Image element is missing an accessible name (e.g., alt text).  This impacts users of assistive technology."", ""impact"": ""serious"", ""confidence"": 0.9}
]}
```"
6020,gemma-3-27b-it,zero-shot,9514,0,1,1,2.5.5,2.5.8,json,,True,False,False,,ok,True,"```json
{""violations"": [
  {""wcagCode"": ""2.5.8"", ""violationName"": ""Target Size"", ""category"": ""semantic"", ""html"": ""<button aria-describedby=\""cookie-alert-text\"" class=\""cookie-alert-button\"" id=\""cookie-alert-accept\"" onclick=\""recordUserResponse(1, 1)\"">\n            Accept        </button>"", ""target"": ""button#cookie-alert-accept"", ""description"": ""Touch target is too small."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""2.5.8"", ""violationName"": ""Target Size"", ""category"": ""semantic"", ""html"": ""<button class=\""cookie-alert-button\"" onclick=\""recordUserResponse(0, 1)\"">\n            D"
6017,gemma-3-27b-it,zero-shot,9116,0,1,1,4.1.2,1.3.1,json,,True,False,False,,ok,True,"```json
{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<button aria-describedby=\""cookie-alert-text\"" class=\""cookie-alert-button\"" id=\""cookie-alert-accept\"" onclick=\""recordUserResponse(1, 1)\"">Accept</button>"", ""target"": ""button"", ""description"": ""Button lacks associated label."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<button class=\""cookie-alert-button\"" onclick=\""recordUserResponse(0, 1)\"">Decline</button>"", ""target"": ""button"", ""descripti"
6022,gemma-3-27b-it,zero-shot,13314,0,1,1,1.1.1,1.3.1,json,,True,False,False,,ok,True,"```json
{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<div role=\""meter\"" id=\""empty\""></div>"", ""target"": ""div"", ""description"": ""Aria meter element does not have an accessible name (label, aria-labelledby or aria-describedby)."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<div role=\""meter\"" id=\""alempty\"" aria-label=\""\""></div>"", ""target"": ""div"", ""description"": ""Aria meter element has an empty aria-label attribute, which does not provide a disce"
706_0,gemma-3-27b-it,zero-shot,4314,0,0,10,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"{""violations"": []}"
708_0,gemma-3-27b-it,zero-shot,4346,0,0,10,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"```json
{""violations"": []}
```"
709_0,gemma-3-27b-it,zero-shot,4399,0,0,10,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"```json
{""violations"": []}
```"
716_0,gemma-3-27b-it,zero-shot,4257,0,0,10,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"{""violations"": []}"
710_0,gemma-3-27b-it,zero-shot,4345,0,0,10,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"```json
{""violations"": []}
```"
711_0,gemma-3-27b-it,zero-shot,4273,0,0,10,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"{""violations"": []}"
707_0,gemma-3-27b-it,zero-shot,4336,0,0,10,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"```json
{""violations"": []}
```"
713_0,gemma-3-27b-it,zero-shot,4355,0,0,10,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"```json
{""violations"": []}
```"
