item_id,model,strategy,duration_ms,tp,fp,fn,precision,recall,f1_score,ground_truth,predictions,raw_output,error
700_0,qwen2.5vl,zero-shot,263,0,0,0,0.0,0.0,0.0,1.4.6,,,"Error code: 400 - {'error': {'message': ""No models loaded. Please load a model in the developer page or use the 'lms load' command."", 'type': 'invalid_request_error', 'param': 'model', 'code': None}}"
700_0,qwen2.5vl,few-shot,8,0,0,0,0.0,0.0,0.0,1.4.6,,,"Error code: 400 - {'error': {'message': ""No models loaded. Please load a model in the developer page or use the 'lms load' command."", 'type': 'invalid_request_error', 'param': 'model', 'code': None}}"
700_0,qwen2.5vl,chain-of-thought,7,0,0,0,0.0,0.0,0.0,1.4.6,,,"Error code: 400 - {'error': {'message': ""No models loaded. Please load a model in the developer page or use the 'lms load' command."", 'type': 'invalid_request_error', 'param': 'model', 'code': None}}"
700_1,qwen2.5vl,zero-shot,10,0,0,0,0.0,0.0,0.0,1.3.1,,,"Error code: 400 - {'error': {'message': ""No models loaded. Please load a model in the developer page or use the 'lms load' command."", 'type': 'invalid_request_error', 'param': 'model', 'code': None}}"
700_1,qwen2.5vl,few-shot,6,0,0,0,0.0,0.0,0.0,1.3.1,,,"Error code: 400 - {'error': {'message': ""No models loaded. Please load a model in the developer page or use the 'lms load' command."", 'type': 'invalid_request_error', 'param': 'model', 'code': None}}"
700_1,qwen2.5vl,chain-of-thought,7,0,0,0,0.0,0.0,0.0,1.3.1,,,"Error code: 400 - {'error': {'message': ""No models loaded. Please load a model in the developer page or use the 'lms load' command."", 'type': 'invalid_request_error', 'param': 'model', 'code': None}}"
700_2,qwen2.5vl,zero-shot,16,0,0,0,0.0,0.0,0.0,1.3.1,,,"Error code: 400 - {'error': {'message': ""No models loaded. Please load a model in the developer page or use the 'lms load' command."", 'type': 'invalid_request_error', 'param': 'model', 'code': None}}"
700_2,qwen2.5vl,few-shot,18,0,0,0,0.0,0.0,0.0,1.3.1,,,"Error code: 400 - {'error': {'message': ""No models loaded. Please load a model in the developer page or use the 'lms load' command."", 'type': 'invalid_request_error', 'param': 'model', 'code': None}}"
700_2,qwen2.5vl,chain-of-thought,8,0,0,0,0.0,0.0,0.0,1.3.1,,,"Error code: 400 - {'error': {'message': ""No models loaded. Please load a model in the developer page or use the 'lms load' command."", 'type': 'invalid_request_error', 'param': 'model', 'code': None}}"
700_3,qwen2.5vl,zero-shot,9,0,0,0,0.0,0.0,0.0,1.3.1,,,"Error code: 400 - {'error': {'message': ""No models loaded. Please load a model in the developer page or use the 'lms load' command."", 'type': 'invalid_request_error', 'param': 'model', 'code': None}}"
700_3,qwen2.5vl,few-shot,6,0,0,0,0.0,0.0,0.0,1.3.1,,,"Error code: 400 - {'error': {'message': ""No models loaded. Please load a model in the developer page or use the 'lms load' command."", 'type': 'invalid_request_error', 'param': 'model', 'code': None}}"
700_3,qwen2.5vl,chain-of-thought,12,0,0,0,0.0,0.0,0.0,1.3.1,,,"Error code: 400 - {'error': {'message': ""No models loaded. Please load a model in the developer page or use the 'lms load' command."", 'type': 'invalid_request_error', 'param': 'model', 'code': None}}"
