item_id,model,strategy,duration_ms,tp,fp,fn,ground_truth,predictions,prediction_source,mapped_rule_ids,schema_valid,parse_failed,empty_response,error,error_class,has_prediction,raw_output_excerpt
6018,llama-4-scout-17b-16e-instruct,zero-shot,488421,0,1,1,4.1.2,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input type='text' />"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}"
6021,llama-4-scout-17b-16e-instruct,zero-shot,5571,0,0,2,1.3.1|2.4.6,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"{""violations"": []}"
6016,llama-4-scout-17b-16e-instruct,zero-shot,7559,0,1,1,3.3.2,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Multiple Labels"", ""category"": ""semantic"",
   ""html"": ""<input type='checkbox' id='fail2'/> <label for='fail2'>label one</label> <label for='fail2'>label two</label>"", 
   ""target"": ""input"", ""description"": ""Form field has multiple labels."", ""impact"": ""moderate"", ""confidence"": 0.9}
]}"
6008,llama-4-scout-17b-16e-instruct,zero-shot,6280,0,0,2,2.4.4|4.1.2,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"{""violations"": []}"
6019,llama-4-scout-17b-16e-instruct,zero-shot,6384,0,0,1,4.1.2,,json_no_codes,,True,False,False,no_wcag_codes_extracted,no_wcag_codes_extracted,False,"{""violations"": []}"
6020,llama-4-scout-17b-16e-instruct,zero-shot,13195,0,2,1,2.5.5,1.3.1|4.1.2,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Semantic Navigation Landmark Missing"", ""category"": ""semantic"",
   ""html"": ""<nav aria-label='Main Menu' class='main-navigation'>"", ""target"": ""nav"",
   ""description"": ""Navigation landmark is present but lacks a programmatically determinable name."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Banner Landmark Missing"", ""category"": ""semantic"",
   ""html"": ""<header class='site-header' id='masthead'>"", ""target"": ""header"",
   ""description"": ""Header landmark is present but lacks a programmatically determ"
6017,llama-4-scout-17b-16e-instruct,zero-shot,7318,0,1,1,4.1.2,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input type='text' />"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}"
6022,llama-4-scout-17b-16e-instruct,zero-shot,7297,0,1,1,1.1.1,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input type='text' />"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9}
]}"
706_0,llama-4-scout-17b-16e-instruct,zero-shot,29447,1,0,9,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Targeting Cookies\"" class=\""fides-toggle-input\"" name=\""pri_4de8eec0-ef79-417a-be42-22520111d7c8\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Social Media Cookies\"" class=\""fides-toggle-input\"" name=\""pri_2936cc91-a0d0-4927-8394-3e3724bdb36a"
708_0,llama-4-scout-17b-16e-instruct,zero-shot,29465,1,0,9,2.4.3|1.4.3|2.1.1|2.4.6|1.3.1|1.4.6|2.4.4|2.4.9|4.1.2|4.1.1,1.3.1,json,,True,False,False,,ok,True,"{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Targeting Cookies\"" class=\""fides-toggle-input\"" name=\""pri_4de8eec0-ef79-417a-be42-22520111d7c8\"" role=\""switch\"" type=\""checkbox\""/>"", ""target"": ""input"",
   ""description"": ""Form field lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<input aria-label=\""Social Media Cookies\"" class=\""fides-toggle-input\"" name=\""pri_2936cc91-a0d0-4927-8394-3e3724bdb36a"
