item_id,model,strategy,duration_ms,tp,fp,fn,precision,recall,f1_score,ground_truth,predictions,error
700_0,google/gemma-4-e4b,zero-shot,6362,1,4,0,0.2,1.0,0.3333,1.4.6,1.4.3|1.4.6|1.1.1|1.4.11|1.3.1,
700_0,google/gemma-4-e4b,few-shot,7169,0,4,1,0.0,0.0,0.0,1.4.6,2.4.7|1.1.1|4.1.2|1.3.1,
700_0,google/gemma-4-e4b,chain-of-thought,9215,1,5,0,0.1667,1.0,0.2857,1.4.6,1.4.3|2.4.7|1.4.6|1.1.1|2.4.4|1.3.1,
700_1,google/gemma-4-e4b,zero-shot,3481,1,2,0,0.3333,1.0,0.5,1.3.1,1.4.6|1.1.1|1.3.1,
700_1,google/gemma-4-e4b,few-shot,4316,1,1,0,0.5,1.0,0.6667,1.3.1,1.1.1|1.3.1,
700_1,google/gemma-4-e4b,chain-of-thought,6118,1,2,0,0.3333,1.0,0.5,1.3.1,1.4.6|1.1.1|1.3.1,
700_2,google/gemma-4-e4b,zero-shot,2797,1,4,0,0.2,1.0,0.3333,1.3.1,1.4.3|1.1.2|1.4.6|1.1.1|1.3.1,
700_2,google/gemma-4-e4b,few-shot,4842,1,1,0,0.5,1.0,0.6667,1.3.1,1.1.1|1.3.1,
700_2,google/gemma-4-e4b,chain-of-thought,7811,1,1,0,0.5,1.0,0.6667,1.3.1,1.1.1|1.3.1,
700_3,google/gemma-4-e4b,zero-shot,0,0,0,0,0.0,0.0,0.0,1.3.1,,
