item_id,model,strategy,duration_ms,tp,fp,fn,precision,recall,f1_score,ground_truth,predictions,raw_output,error,schema_valid,parse_failed,empty_response,prediction_source,mapped_rule_ids
6018,gemma-3-27b-it,zero-shot,71515,0,1,1,0.0,0.0,0.0,4.1.2,1.3.1,"```json
{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<button aria-controls=\""dqu-ui-component-1_itemList\"" aria-expanded=\""false\"" aria-haspopup=\""menu\"" class=\""component_DropDownMenu_button\""><span class=\""component_DropDownMenu_arrow fa fa-angle-down\""></span><span class=\""component_DropDownMenu_itemLabel\""><span class=\""component_LanguageSwitcher_langCode\"">en</span><span class=\""component_LanguageSwitcher_langName\"">English</span></span></button>"", ""target"": ""button"", ""description"": ""Button lacks associated label."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<button class=\""cookie-alert-button\"" onclick=\""recordUserResponse(0, 1)\"">Decline</button>"", ""target"": ""button"", ""description"": ""Button lacks associated label."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<button aria-describedby=\""cookie-alert-text\"" class=\""cookie-alert-button\"" id=\""cookie-alert-accept\"" onclick=\""recordUserResponse(1, 1)\"">Accept</button>"", ""target"": ""button"", ""description"": ""Button lacks associated label."", ""impact"": ""serious"", ""confidence"": 0.9}
]}
```",,True,False,False,json,
6021,gemma-3-27b-it,zero-shot,11592,2,0,0,1.0,1.0,1.0,2.4.6|1.3.1,1.3.1|2.4.6,"```json
{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<button class=\""cookie-alert-button\"" onclick=\""recordUserResponse(0, 1)\"">Decline</button>"", ""target"": ""button"",
   ""description"": ""Button lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"",
   ""html"": ""<button aria-describedby=\""cookie-alert-text\"" class=\""cookie-alert-button\"" id=\""cookie-alert-accept\"" onclick=\""recordUserResponse(1, 1)\"">Accept</button>"", ""target"": ""button"",
   ""description"": ""Button lacks associated label."",
   ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""2.4.6"", ""violationName"": ""Headings and Labels"", ""category"": ""semantic"",
   ""html"": ""<div class=\""ruleId\""><span>Rule ID:</span><span class=\""ruleIdData\"">empty-table-header</span></div>"", ""target"": ""div"",
   ""description"": ""Heading level is insufficient.  Content should be organized with appropriate heading levels."",
   ""impact"": ""moderate"", ""confidence"": 0.7}
]}
```",,True,False,False,json,
6016,gemma-3-27b-it,zero-shot,6568,1,0,0,1.0,1.0,1.0,3.3.2,3.3.2,"```json
{""violations"": [
  {""wcagCode"": ""3.3.2"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<input type='text' />"", ""target"": ""input"", ""description"": ""Form field lacks associated label."", ""impact"": ""moderate"", ""confidence"": 0.9}
]}
```",,True,False,False,json,
6008,gemma-3-27b-it,zero-shot,7622,0,1,2,0.0,0.0,0.0,2.4.4|4.1.2,1.1.1,"```json
{""violations"": [
  {""wcagCode"": ""1.1.1"", ""violationName"": ""Non-text Content"", ""category"": ""semantic"", ""html"": ""<img alt=\""Deque University logo\"" src=\""assets/images/logos/Deque_DequeU_Logo_White.png\"" style=\""height: 50px; margin-top: -5px;\""/>"", ""target"": ""img"", ""description"": ""Image lacks alternative text."", ""impact"": ""serious"", ""confidence"": 0.9}
]}
```",,True,False,False,json,
6019,gemma-3-27b-it,zero-shot,11889,0,2,1,0.0,0.0,0.0,4.1.2,1.3.1|2.4.6,"```json
{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<button class=\""cookie-alert-button\"" onclick=\""recordUserResponse(0, 1)\"">Decline</button>"", ""target"": ""button"", ""description"": ""Button lacks associated label."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<button aria-describedby=\""cookie-alert-text\"" class=\""cookie-alert-button\"" id=\""cookie-alert-accept\"" onclick=\""recordUserResponse(1, 1)\"">Accept</button>"", ""target"": ""button"", ""description"": ""Button lacks associated label."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""2.4.6"", ""violationName"": ""Headings and Labels"", ""category"": ""semantic"", ""html"": ""<div class=\""ruleId\""><span>Rule ID:</span><span class=\""ruleIdData\"">aria-braille-equivalent</span></div>"", ""target"": ""div"", ""description"": ""Heading level is not properly nested.  The heading should be a direct child of the body or another section."", ""impact"": ""moderate"", ""confidence"": 0.7}
]}
```",,True,False,False,json,
6020,gemma-3-27b-it,zero-shot,9805,0,1,1,0.0,0.0,0.0,2.5.5,2.5.8,"```json
{""violations"": [
  {""wcagCode"": ""2.5.8"", ""violationName"": ""Target Size"", ""category"": ""semantic"", ""html"": ""<button aria-describedby=\""cookie-alert-text\"" class=\""cookie-alert-button\"" id=\""cookie-alert-accept\"" onclick=\""recordUserResponse(1, 1)\"">\n            Accept        </button>"", ""target"": ""#cookie-alert-accept"", ""description"": ""Touch target is too small."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""2.5.8"", ""violationName"": ""Target Size"", ""category"": ""semantic"", ""html"": ""<button class=\""cookie-alert-button\"" onclick=\""recordUserResponse(0, 1)\"">\n            Decline        </button>"", ""target"": ""[onclick='recordUserResponse(0, 1)']"", ""description"": ""Touch target is too small."", ""impact"": ""serious"", ""confidence"": 0.9}
]}
```",,True,False,False,json,
6017,gemma-3-27b-it,zero-shot,12991,0,1,1,0.0,0.0,0.0,4.1.2,1.3.1,"```json
{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<button aria-controls=\""dqu-ui-component-1_itemList\"" aria-expanded=\""false\"" aria-haspopup=\""menu\"" class=\""component_DropDownMenu_button\""><span class=\""component_DropDownMenu_arrow fa fa-angle-down\""></span><span class=\""component_DropDownMenu_itemLabel\""><span class=\""component_LanguageSwitcher_langCode\"">en</span><span class=\""component_LanguageSwitcher_langName\"">English</span></span></button>"", ""target"": ""button"", ""description"": ""Button lacks associated label."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<button class=\""cookie-alert-button\"" onclick=\""recordUserResponse(0, 1)\"">Decline</button>"", ""target"": ""button"", ""description"": ""Button lacks associated label."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<button aria-describedby=\""cookie-alert-text\"" class=\""cookie-alert-button\"" id=\""cookie-alert-accept\"" onclick=\""recordUserResponse(1, 1)\"">Accept</button>"", ""target"": ""button"", ""description"": ""Button lacks associated label."", ""impact"": ""serious"", ""confidence"": 0.9}
]}
```",,True,False,False,json,
6022,gemma-3-27b-it,zero-shot,11309,0,1,1,0.0,0.0,0.0,1.1.1,1.3.1,"```json
{""violations"": [
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<div role=\""meter\"" id=\""alb\""></div>"", ""target"": ""div"", ""description"": ""ARIA meter node lacks an accessible name (label, aria-labelledby, or aria-describedby)."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<div role=\""meter\"" id=\""combo\"" aria-label=\""Aria Name\"">Name</div>"", ""target"": ""div"", ""description"": ""ARIA meter node lacks an accessible name (label, aria-labelledby, or aria-describedby)."", ""impact"": ""serious"", ""confidence"": 0.9},
  {""wcagCode"": ""1.3.1"", ""violationName"": ""Missing Label"", ""category"": ""semantic"", ""html"": ""<div role=\""meter\"" id=\""title\"" title=\""Title\""></div>"", ""target"": ""div"", ""description"": ""ARIA meter node lacks an accessible name (label, aria-labelledby, or aria-describedby)."", ""impact"": ""serious"", ""confidence"": 0.9}
]}
```",,True,False,False,json,
706_0,gemma-3-27b-it,zero-shot,4816,0,0,10,0.0,0.0,0.0,1.4.6|2.1.1|2.4.9|2.4.4|4.1.1|4.1.2|2.4.3|2.4.6|1.3.1|1.4.3,,"```json
{""violations"": []}
```",no_wcag_codes_extracted,True,False,False,json_no_codes,
708_0,gemma-3-27b-it,zero-shot,4727,0,0,10,0.0,0.0,0.0,1.4.6|2.1.1|2.4.9|2.4.4|4.1.1|4.1.2|2.4.3|2.4.6|1.3.1|1.4.3,,"```json
{""violations"": []}
```",no_wcag_codes_extracted,True,False,False,json_no_codes,
