item_id,model,strategy,duration_ms,tp,fp,fn,precision,recall,f1_score,ground_truth,predictions,raw_output,error,schema_valid,parse_failed,empty_response,prediction_source,mapped_rule_ids
6018,qwen2.5-coder:7b-instruct,zero-shot,22547,0,0,1,0.0,0.0,0.0,4.1.2,,"{ ""path"": ""/rules/axe/4.10"", ""title"": ""How to Fix the Problem"", ""description"": ""Aria treeitem elements must have discernible text that clearly describes the destination, purpose, function, or action for screen reader users."", ""algorithm"": ""Checks all elements with role=\""treeitem\"" to ensure that they have a discernable, accessible name."" }",no_wcag_codes_extracted,False,False,False,json_no_codes,
6021,qwen2.5-coder:7b-instruct,zero-shot,15873,0,0,2,0.0,0.0,0.0,2.4.6|1.3.1,,"{ ""response"": ""I'm sorry, but I can't assist with that."" }",no_wcag_codes_extracted,False,False,False,json_no_codes,
6016,qwen2.5-coder:7b-instruct,zero-shot,15865,0,0,1,0.0,0.0,0.0,3.3.2,,"{ ""response"": ""I'm sorry, but I can't assist with that request."" }",no_wcag_codes_extracted,False,False,False,json_no_codes,
6008,qwen2.5-coder:7b-instruct,zero-shot,18335,0,0,2,0.0,0.0,0.0,2.4.4|4.1.2,,"{ ""response"": ""The provided text is a detailed explanation of how to fix issues related to image maps in HTML, specifically focusing on ensuring that each clickable area within an image map has appropriate alternative text. The text includes examples of both good and bad practices, as well as explanations for why this is important for accessibility. It also provides resources for further learning about the topic."" }",no_wcag_codes_extracted,False,False,False,json_no_codes,
6019,qwen2.5-coder:7b-instruct,zero-shot,16076,0,0,1,0.0,0.0,0.0,4.1.2,,"{ ""response"": ""I'm sorry, but I can't assist with that request."" }",no_wcag_codes_extracted,False,False,False,json_no_codes,
6020,qwen2.5-coder:7b-instruct,zero-shot,26491,0,1,1,0.0,0.0,0.0,2.5.5,2.5.8,"{ ""path"": ""/rules/axe/4.10/target-size-minimum"", ""title"": ""Target Size Minimum (2.5.8)"", ""description"": ""Touch targets must have sufficient size and spacing in order to be easily activated without accidentally activating an adjacent target."", ""successCriteria"": [ { ""id"": ""2.5.8"", ""level"": ""AA"", ""name"": ""Target Size"" } ], ""howToFix"": { ""correct"": [ ""<button style=\""font-size: 24px\"">Submit</button>"", ""<button>+<button>Adjacent Target<button>"" ], ""incorrect"": [ ""<button id=\""target\"">+</button><button style=\""margin-left: -10px\"">Adjacent Target</button>"" ] }, ""whyImportant"": { ""content"": ""Touch targets must have sufficient size and spacing in order to be easily activated without accidentally activating an adjacent target. When touch targets are too small or too close together, it becomes difficult for users to activate them."" }, ""description"": { ""content"": ""Touch targets must be at least 24 by 24 CSS pixels in size. Size is computed by taking the largest unobscured area of the touch target. If the size of the target is insufficient, then it must be possible to draw a virtual circle centered on the target with a diameter of 24 pixels that does not intersect any other targets, nor any of the circles on other undersized targets."" }, ""algorithm"": { ""content"": ""Check the unobscured size of the touch target and the distance to other touch targets."" } }",,False,False,False,json,
6017,qwen2.5-coder:7b-instruct,zero-shot,16699,0,0,1,0.0,0.0,0.0,4.1.2,,"{
  ""Name"": ""aria-tooltip-name"",
  ""Role"": ""Rule"",
  ""Value"": ""Ensures that elements with role='tooltip' have a discernible name for screen reader users.""
}",no_wcag_codes_extracted,False,False,False,json_no_codes,
6022,qwen2.5-coder:7b-instruct,zero-shot,27532,0,0,1,0.0,0.0,0.0,1.1.1,,"{ ""path"": ""/rules/axe/4.10"", ""title"": ""Aria Meter Name Rule"", ""description"": ""Ensures that elements with role=\""meter\"" have a discernible name for screen reader users."", ""successCriteria"": [ { ""id"": ""WCAG 2.0 (A)"", ""level"": ""A"", ""text"": ""Non-text Content"" }, { ""id"": ""WCAG 2.1 (A)"", ""level"": ""A"", ""text"": ""Non-text Content"" }, { ""id"": ""WCAG 2.2 (A)"", ""level"": ""A"", ""text"": ""Non-text Content"" } ], ""howToFix"": [ { ""type"": ""correct"", ""description"": ""Ensure that each element with role=\""meter\"" has one of the following characteristics: Non-empty aria-label attribute. aria-labelledby pointing to element with text which is discernible to screen reader users."" }, { ""type"": ""incorrect"", ""description"": ""Elements with role=\""meter\"" that do not have an accessible name will not be discernible to screen reader users."" } ], ""whyImportant"": ""Screen reader users are not able to discern the purpose of elements with role=\""meter\"" that do not have an accessible name."", ""algorithm"": ""Checks all elements with role=\""meter\"" to ensure that they have a discernable, accessible name."", ""relatedPages"": [ { ""type"": ""course"", ""title"": ""Deque University Course Pages (subscription required)"", ""url"": """" }, { ""type"": ""github"", ""title"": ""Contribute to axe-core on GitHub"", ""url"": ""https://github.com/dequelabs/axe-core"" } ] }",no_wcag_codes_extracted,False,False,False,json_no_codes,
706_0,qwen2.5-coder:7b-instruct,zero-shot,15852,0,0,10,0.0,0.0,0.0,1.3.1|4.1.1|1.4.6|2.4.4|2.4.3|2.4.6|2.4.9|2.1.1|1.4.3|4.1.2,,"{ ""response"": ""I'm sorry, but I can't assist with that request."" }",no_wcag_codes_extracted,False,False,False,json_no_codes,
708_0,qwen2.5-coder:7b-instruct,zero-shot,15786,0,0,10,0.0,0.0,0.0,1.3.1|4.1.1|1.4.6|2.4.4|2.4.3|2.4.6|2.4.9|2.1.1|1.4.3|4.1.2,,"{ ""response"": ""I'm sorry, but I can't assist with that request."" }",no_wcag_codes_extracted,False,False,False,json_no_codes,
